technology,dst_region,region,agent,sector,type,year,capacity
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,26.36160000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2045,81.14380000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2045,15.74430000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2045,35.62340000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2045,39.82970000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2045,8.03590000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2045,3.27520000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2045,23.35460000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2045,16.00220000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,5.77160000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,1.61310000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,3.60620000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,7.04550000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,7.52520000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2050,0.13240000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2050,44.73990000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2050,86.52480000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2050,55.74080000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2050,97.47640000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2050,114.19410000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2050,102.15070000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2050,28.03590000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2050,29.85240000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2050,49.30760000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2050,47.45060000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2050,47.68180000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2050,42.45140000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,0.61650000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,114.29170000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,67.75190000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,125.13390000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,59.52580000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,54.79060000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,81.87800000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,65.02450000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,64.26830000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,102.77720000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,117.20170000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,116.82010000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2050,0.42300000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,51.78710000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,66.57080000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,56.09510000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,55.50080000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,31.04970000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,81.09510000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,1.52950000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,27.44140000000
