,timeslice,region,technology,year,agent,category,sector,LCOE
22624,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,3.69140133778
22625,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,7.35971863666
22626,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,74.43489007288
22627,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,7.35971863666
22628,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,46.21827634977
22629,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,13.61230478663
22630,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,8.70196465489
22631,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,8.70196465489
22632,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,26.34749872201
22633,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,26.34749872201
22634,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,19.37677800129
22635,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,26.34749872201
22636,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,19.37677800129
22637,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,26.34749872201
22638,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,19.37677800129
22639,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,26.34749872201
22640,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,19.37677800129
22641,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,26.34749872201
22642,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,0.00000000000
22643,"('winter', 'all-week', 'day')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,0.00000000000
22644,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,27.25661166974
22645,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,14.06838106314
22646,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,16.53707126262
22647,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,84.73348522964
22648,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,16.53707126262
22649,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,56.49637271690
22650,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,58.14460995534
22651,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,220.79507365208
22652,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,inf
22653,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,35.99198576088
22654,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,35.99198576088
22655,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,29.02126504016
22656,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,35.99198576088
22657,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,29.02126504016
22658,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,35.99198576088
22659,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,29.02126504016
22660,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,35.99198576088
22661,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,29.02126504016
22662,"('spring', 'all-week', 'night')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,35.99198576088
