,region,year,agent,replacement_,asset_,month,day,hour,LCOE,category,name
137,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Utility),autumn,all-week,night,232.80793458968623,retrofit,A1
138,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Utility),spring,all-week,day,38.62963780822227,retrofit,A1
139,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Utility),spring,all-week,night,232.80793458968623,retrofit,A1
140,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Utility),summer,all-week,day,38.62963780822227,retrofit,A1
141,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Utility),summer,all-week,night,232.80793458968623,retrofit,A1
142,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Utility),winter,all-week,day,38.62963780822227,retrofit,A1
143,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Solar PV (Utility),winter,all-week,night,232.80793458968623,retrofit,A1
144,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Biomass Power Plant,autumn,all-week,day,27.040817571162638,retrofit,A1
145,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Biomass Power Plant,autumn,all-week,night,inf,retrofit,A1
146,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Biomass Power Plant,spring,all-week,day,27.040817571162638,retrofit,A1
147,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Biomass Power Plant,spring,all-week,night,inf,retrofit,A1
148,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Biomass Power Plant,summer,all-week,day,27.040817571162638,retrofit,A1
149,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP without Storage,Biomass Power Plant,summer,all-week,night,inf,retrofit,A1
