,timeslice,region,technology,year,agent,category,sector,LCOE
28909,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,14.46556048184
28910,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,27.88415515128
28911,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,25.28272502035
28912,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,25.28272502035
28913,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,14.46556048184
28914,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,17.00394691395
28915,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,17.00394691395
28916,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,27.60336132545
28917,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,58.11231839816
28918,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,17.00394691395
28919,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,37.83809853894
28920,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,37.83809853894
28921,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,27.88415515128
28922,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,25.28272502035
28923,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,25.28272502035
28924,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,14.46556048184
28925,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,17.00394691395
28926,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,17.00394691395
28927,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,27.60336132545
28928,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,58.11231839816
28929,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,17.00394691395
28930,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,37.83809853894
28931,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,37.83809853894
28932,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,0.00000000000
28933,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,0.00000000000
28934,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,0.00000000000
28935,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,0.00000000000
28936,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,0.00000000000
28937,"('spring', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,0.00000000000
28938,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,61.13445373937
28939,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,35.51005325911
28940,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,41.74128427265
28941,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,105.95894649039
28942,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,41.74128427265
28943,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,77.70114257565
28944,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,142.65411459208
28945,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,92.88495968168
28946,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,92.88495968168
28947,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,35.51005325911
28948,"('spring', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,61.13445373937
