ProcessName,RegionName,Time,StdUnitCapacity,TechnicalLife,GrossEfficiency,OwnUseRate,Availability,MinLoadRate,CCSCaptureRate,DayStorageOutput,CAPEX,OPEX,DiscountRate,RunningCost
Unit,Unit,Year,MW,Year,%,%,%,%,%,GWh,USD/KW,USD/KW,%,USD/KWh
CCS_NGCC_OXY,ASEAN,2040,5000,30,51.5,7,95,0,85,0,2192.06,61.55,10,0.001
GAS_GT,ASEAN,2040,5000,35,39,7,95,0,0,0,892.8499252,11.8349,10,0.001
REW_GEO,ASEAN,2040,1000,40,10,6,95,0,0,0,3988.79,30.73,10,0.001
REW_HYD_LG,ASEAN,2040,1000,100,100,1,95,0,0,0,3557.34,32.61,10,0.001
REW_HYD_SM,ASEAN,2040,1000,100,100,1,95,0,0,0,1995.58,18.3,10,0.001
NUK_LWR,ASEAN,2040,5000,40,37,6,95,60,0,0,4073.16,44.32,10,0.001
BIO_BIO,ASEAN,2040,3000,30,30,7,95,0,0,0,5111.67,49.59,10,0.001
CCS_IGCC_BIO,ASEAN,2040,3000,30,39,7,95,0,85,0,4057.92,67.1,10,0.001
COA_SC_HC,ASEAN,2040,5000,40,40,7,95,0,0,0,1462.664892,29.25329784,10,0.001
COA_IGCC_HC,ASEAN,2040,5000,40,50,7,95,0,0,0,2250.25368,45.00507359,10,0.001
CCS_USC_POS_HC,ASEAN,2040,5000,40,41,7,95,0,85,0,2163.859252,64.91577756,10,0.001
CCS_USC_OXY_HC,ASEAN,2040,5000,40,41,7,95,0,85,0,2300.448374,69.01345123,10,0.001
CCS_USC_PRE_HC,ASEAN,2040,5000,40,42,7,95,0,85,0,2773.682253,83.21046759,10,0.001
COA_SC_LN,ASEAN,2040,5000,40,38,7,95,0,0,0,1535.798136,30.71596273,10,0.001
COA_IGCC_LN,ASEAN,2040,5000,40,48,7,95,0,0,0,2362.766364,47.25532727,10,0.001
CCS_USC_POS_LN,ASEAN,2040,5000,40,36.5,7,95,0,85,0,2272.052215,68.16156644,10,0.001
CCS_NGCC_POS,ASEAN,2040,5000,35,53,7,95,0,85,0,1020.135677,25.50339194,10,0.001
OIL_ST,ASEAN,2040,5000,30,39,7,95,0,0,0,1199.070766,28.77769839,10,0.001
STR_HPS,ASEAN,2040,1000,60,80,0,98,0,0,0.6,2394.092,47.88183,10,0.001
STR_BAT,ASEAN,2040,1000,60,80,0,98,0,0,0.6,163.4,1.634,10,0.001
REW_WND_ON,ASEAN,2045,1000,20,100,0,95,0,0,0,1286.87,19.93,10,0.001
REW_WND_OFF,ASEAN,2045,1000,20,100,0,95,0,0,0,2479.43,40.23,10,0.001
REW_PV_GND,ASEAN,2045,1000,30,100,6,95,0,0,0,623.76,5.59,10,0.001
REW_PV_RFT,ASEAN,2045,1000,25,100,6,95,0,0,0,974.7,7.93,10,0.001
REW_CSP_NST,ASEAN,2045,1000,25,100,0,95,0,0,0,2877,11.5,10,0.001
COA_SUB_HC,ASEAN,2045,5000,30,35,7,95,0,0,0,1070.99,21.42,10,0.001
COA_SUB_LN,ASEAN,2045,5000,30,34,7,95,0,0,0,1124.54,22.49,10,0.001
COA_USC_HC,ASEAN,2045,5000,30,49.5,7,95,0,0,0,1653.447269,33.06894538,10,0.001
COA_USC_LN,ASEAN,2045,5000,30,46.5,7,95,0,0,0,1736.119632,34.72239265,10,0.001
GAS_CC,ASEAN,2045,5000,30,60.5,7,95,0,0,0,1225.18,16.24,10,0.001
CCS_NGCC_OXY,ASEAN,2045,5000,30,52.25,7,95,0,85,0,2192.06,61.55,10,0.001
GAS_GT,ASEAN,2045,5000,35,39.5,7,95,0,0,0,892.8499252,11.8349,10,0.001
REW_GEO,ASEAN,2045,1000,40,10,6,95,0,0,0,3917.06,29.99,10,0.001
REW_HYD_LG,ASEAN,2045,1000,100,100,1,95,0,0,0,3513.47,31.84,10,0.001
REW_HYD_SM,ASEAN,2045,1000,100,100,1,95,0,0,0,1977.77,17.89,10,0.001
NUK_LWR,ASEAN,2045,5000,40,37,6,95,60,0,0,4073.16,44.32,10,0.001
BIO_BIO,ASEAN,2045,3000,30,30,7,95,0,0,0,5111.67,49.59,10,0.001
CCS_IGCC_BIO,ASEAN,2045,3000,30,41,7,95,0,85,0,3896.89,64.44,10,0.001
COA_SC_HC,ASEAN,2045,5000,40,40,7,95,0,0,0,1462.664892,29.25329784,10,0.001
COA_IGCC_HC,ASEAN,2045,5000,40,51,7,95,0,0,0,2201.335121,44.02670243,10,0.001
CCS_USC_POS_HC,ASEAN,2045,5000,40,41.5,7,95,0,85,0,2088.37579,62.65127369,10,0.001
CCS_USC_OXY_HC,ASEAN,2045,5000,40,41.5,7,95,0,85,0,2210.58711,66.31761329,10,0.001
CCS_USC_PRE_HC,ASEAN,2045,5000,40,44,7,95,0,85,0,2663.615497,79.90846491,10,0.001
COA_SC_LN,ASEAN,2045,5000,40,38,7,95,0,0,0,1535.798136,30.71596273,10,0.001
COA_IGCC_LN,ASEAN,2045,5000,40,49,7,95,0,0,0,2311.401877,46.22803755,10,0.001
CCS_USC_POS_LN,ASEAN,2045,5000,40,37.75,7,95,0,85,0,2192.794579,65.78383738,10,0.001
CCS_NGCC_POS,ASEAN,2045,5000,35,53.5,7,95,0,85,0,1003.681876,25.09204691,10,0.001
OIL_ST,ASEAN,2045,5000,30,39.5,7,95,0,0,0,1199.070766,28.77769839,10,0.001
STR_HPS,ASEAN,2045,1000,60,80,0,98,0,0,0.6,2394.092,47.88183,10,0.001
