,timeslice,commodity,region,installed,technology,year,agent,category,sector,supply
9873,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9874,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Large Hydropower Plant (Dam) (>100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9875,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Light Fuel Oil Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9876,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Medium Hydropower Plant (10-100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9877,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Oil Fired Gas Turbine (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
9878,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9879,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Solar PV (Distributed with Storage),2050.00000000000,A1,retrofit,power,0.00000000000
9880,"('winter', 'all-week', 'day')",geothermal,Kenya,2020.00000000000,Solar PV (Utility),2050.00000000000,A1,retrofit,power,0.00000000000
9881,"('winter', 'all-week', 'day')",geothermal,Kenya,2025.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9882,"('winter', 'all-week', 'day')",geothermal,Kenya,2030.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9883,"('winter', 'all-week', 'day')",geothermal,Kenya,2035.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9884,"('winter', 'all-week', 'day')",geothermal,Kenya,2040.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9885,"('winter', 'all-week', 'day')",geothermal,Kenya,2040.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9886,"('winter', 'all-week', 'day')",geothermal,Kenya,2040.00000000000,Gas Power Plant (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
9887,"('winter', 'all-week', 'day')",geothermal,Kenya,2040.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9888,"('winter', 'all-week', 'day')",geothermal,Kenya,2040.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9889,"('winter', 'all-week', 'day')",geothermal,Kenya,2045.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9890,"('winter', 'all-week', 'day')",geothermal,Kenya,2045.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9891,"('winter', 'all-week', 'day')",geothermal,Kenya,2045.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9892,"('winter', 'all-week', 'day')",geothermal,Kenya,2045.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9893,"('winter', 'all-week', 'day')",geothermal,Kenya,2050.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9894,"('winter', 'all-week', 'day')",geothermal,Kenya,2050.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9895,"('winter', 'all-week', 'day')",hydro,Kenya,2020.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
